label,side,time,regime,train_edge,test_edge,test_wr,test_freq,test_n,consistency,decay_pct,validated,note
price>ema21 & mom10<0,long,all,all,0.1177,0.0797,0.414,16.69,2059,6.908,32.2,True,long | all/all | WR 41% at 16.7/day
bullish_di & mom10<0,long,all,all,0.1044,0.0978,0.412,16.74,2065,6.895,6.4,True,long | all/all | WR 41% at 16.7/day
after_30m & bullish_di & price>ema21,long,all,all,0.1182,0.0894,0.42,16.35,2018,6.874,24.3,True,long | all/all | WR 42% at 16.4/day
cci>0,short,all,all,0.1371,0.134,0.428,16.04,1979,6.87,2.2,True,short | all/all | WR 43% at 16.0/day
macd<0 & roc5>0,long,all,all,0.095,0.0647,0.411,16.64,2053,6.844,31.9,True,long | all/all | WR 41% at 16.6/day
after_30m & bullish_di,long,all,all,0.1124,0.1,0.421,16.14,1992,6.796,11.0,True,long | all/all | WR 42% at 16.1/day
rsi>60,short,all,all,0.0978,0.1166,0.425,15.99,1973,6.79,-19.2,True,short | all/all | WR 42% at 16.0/day
vwma9>21 & mom10<0,long,all,all,0.1134,0.112,0.427,15.85,1956,6.769,1.3,True,long | all/all | WR 43% at 15.8/day
price<ema21 & adx>20,long,all,all,0.1205,0.0909,0.417,16.18,1996,6.745,24.6,True,long | all/all | WR 42% at 16.2/day
cci>0,long,all,all,0.0712,0.0571,0.42,16.04,1979,6.741,19.9,True,long | all/all | WR 42% at 16.0/day
cci>0 & bullish_di,long,all,all,0.1098,0.0901,0.423,15.88,1959,6.71,18.0,True,long | all/all | WR 42% at 15.9/day
bullish_di,short,all,all,0.0697,0.0628,0.409,16.41,2025,6.707,9.9,True,short | all/all | WR 41% at 16.4/day
after_30m & cci>0,short,all,all,0.1387,0.126,0.424,15.66,1932,6.634,9.2,True,short | all/all | WR 42% at 15.7/day
ema21>50 & price>ema9,short,all,all,0.124,0.0825,0.408,16.22,2001,6.611,33.5,True,short | all/all | WR 41% at 16.2/day
